iter	Passed	Remaining
323	2305	540
324	2312	533
325	2319	526
326	2326	519
327	2334	512
328	2341	505
329	2348	498
330	2355	491
331	2362	483
332	2369	476
333	2377	469
334	2384	462
335	2391	455
336	2398	448
337	2405	441
338	2412	434
339	2419	426
340	2426	419
341	2433	412
342	2440	405
343	2448	398
344	2454	391
345	2462	384
346	2469	377
347	2476	370
348	2484	363
349	2491	355
350	2498	348
351	2505	341
352	2512	334
353	2520	327
354	2527	320
355	2534	313
356	2541	306
357	2548	298
358	2555	291
359	2562	284
360	2569	277
361	2577	270
362	2583	263
363	2590	256
364	2597	249
365	2604	241
366	2611	234
367	2618	227
368	2625	220
369	2632	213
370	2639	206
371	2646	199
372	2653	192
373	2660	184
374	2667	177
375	2674	170
376	2681	163
377	2688	156
378	2695	149
379	2702	142
380	2709	135
381	2716	128
382	2724	120
383	2731	113
384	2738	106
385	2745	99
386	2753	92
387	2760	85
388	2767	78
389	2774	71
390	2781	64
391	2788	56
392	2796	49
393	2803	42
394	2809	35
395	2817	28
396	2824	21
397	2831	14
398	2838	7
399	2846	0
